Functional Category	QC Metric / Concept	DDA	DIA	ID-based	ID-free	Usage / Source Notes	Proposed Tier	Unit	PSI-MS Accession Numbers	
QUANTIFICATION PRECISION & REPRODUCIBILITY	Volcano plot / heatmap reproducibility validation	DDA	DIA	ID-based	NOT ID-free	Visualizes differential expression consistency across studies	2	dimensionless		
QUANTIFICATION PRECISION & REPRODUCIBILITY	CV distribution analysis (histogram / density plots)	DDA	DIA	ID-based	Partially ID-free	Visualizes overall quantitative precision distribution	2	percent		
"PLATFORM-SPECIFIC: APTAMER-BASED (Olink, SomaScan)"	Hybridization normalization & calibration (ANML)	NOT DDA	NOT DIA	NOT ID_based	ID-free	SomaScan-specific; aptamer-based platform normalization using signal intensity	3	dimensionless		
"PLATFORM-SPECIFIC: APTAMER-BASED (Olink, SomaScan)"	NPX (Normalized Protein eXpression) scaling	NOT DDA	NOT DIA	NOT ID_based	ID-free	Olink-specific; log2-scale relative quantification with internal controls	3	log2_scale		
"PLATFORM-SPECIFIC: APTAMER-BASED (Olink, SomaScan)"	Inter-panel and intra-panel CV thresholds	NOT DDA	NOT DIA	NOT ID_based	ID-free	"Olink QC: inter-panel CV < 20%, intra-panel CV < 10%"	3	percent		
"PLATFORM-SPECIFIC: APTAMER-BASED (Olink, SomaScan)"	Limit of Detection (LOD) filtering	NOT DDA	NOT DIA	ID-based	Partially ID-free	Exclusion of proteins below detection threshold	3	arbitrary_units		
"PLATFORM-SPECIFIC: APTAMER-BASED (Olink, SomaScan)"	Bridging samples for cross-cohort harmonization	NOT DDA	NOT DIA	ID-based	Partially ID-free	Used to align NPX units across different cohorts or batches	3	dimensionless		
"PLATFORM-SPECIFIC: APTAMER-BASED (Olink, SomaScan)"	Internal reference standards and buffer controls	NOT DDA	NOT DIA	NOT ID_based	ID-free	Plate-level QC for assay consistency and signal calibration	3	arbitrary_units		
"PLATFORM-SPECIFIC: APTAMER-BASED (Olink, SomaScan)"	Outlier exclusion (>33% samples below LOD)	NOT DDA	NOT DIA	ID-based	Partially ID-free	Removes proteins with insufficient detection across sample set	3	percent		
PLATFORM-SPECIFIC: TARGETED MS (SRM/MRM/PRM)	Heavy isotope-labeled internal standards (SIS)	NOT DDA	NOT DIA	ID-based	Partially ID-free	Stable isotope standards for absolute quantification and QC	3	arbitrary_units		
PLATFORM-SPECIFIC: TARGETED MS (SRM/MRM/PRM)	Transition ion ratio validation	NOT DDA	NOT DIA	ID-based	NOT ID-free	Confirms identity via fragment ion ratio consistency	3	dimensionless		
PLATFORM-SPECIFIC: TARGETED MS (SRM/MRM/PRM)	Calibration curve accuracy and precision	NOT DDA	NOT DIA	ID-based	NOT ID-free	Validates quantitative range and LOQ/LOD	3	dimensionless		
PLATFORM-SPECIFIC: TARGETED MS (SRM/MRM/PRM)	Retention time shift monitoring (Q4SRM)	NOT DDA	NOT DIA	ID-based	Partially ID-free	Tracks RT stability of targeted peptides using heavy standards	3	minutes		
PLATFORM-SPECIFIC: TARGETED MS (SRM/MRM/PRM)	PRM validation of DIA results	NOT DDA	DIA	ID-based	NOT ID-free	Orthogonal validation of DIA-identified differential proteins	2	percent 		
PLATFORM-SPECIFIC: TARGETED MS (SRM/MRM/PRM)	Intra-assay and inter-assay CV monitoring	NOT DDA	NOT DIA	ID-based	Partially ID-free	Precision within and between analytical runs	3	percent 		
PLATFORM-SPECIFIC: TARGETED MS (SRM/MRM/PRM)	System suitability checks (daily QC standards)	NOT DDA	NOT DIA	ID-based	ID-free	Pre-run validation ensuring instrument readiness	3	dimensionless		
PLATFORM-SPECIFIC: TOP-DOWN PROTEOMICS	Proteoform-level FDR control	DDA	NOT DIA	ID-based	NOT ID-free	"FDR at proteoform, protein, and PrSM levels"	3	percent 		
PLATFORM-SPECIFIC: TOP-DOWN PROTEOMICS	C-score thresholds	DDA	NOT DIA	ID-based	NOT ID-free	"Confidence score for proteoform identification (e.g., >40)"	3	dimensionless		
PLATFORM-SPECIFIC: TOP-DOWN PROTEOMICS	"Artifact detection (FLASHDeconv, MSTopDiff)"	DDA	NOT DIA	ID-based	Partially ID-free	"Identifies oxidation, formylation, adduct artifacts in intact proteins"	3	count		
PLATFORM-SPECIFIC: TOP-DOWN PROTEOMICS	Proteoform overlap across workflows	DDA	NOT DIA	ID-based	NOT ID-free	Complementarity analysis across sample prep methods	3	percent		
PLATFORM-SPECIFIC: TOP-DOWN PROTEOMICS	EAD fragmentation optimization	DDA	NOT DIA	NOT ID_based	ID-free	Electron-activated dissociation parameter tuning for sequence coverage	3	dimensionless		
PLATFORM-SPECIFIC: TOP-DOWN PROTEOMICS	Zeno trap signal gain validation	DDA	NOT DIA	NOT ID_based	ID-free	MS2 signal enhancement verification (6-12  gain)	3	fold_change		
PLATFORM-SPECIFIC: TOP-DOWN PROTEOMICS	Intact protein mass accuracy (<1 ppm)	DDA	NOT DIA	Partially ID-based	ID-free	Validates accurate mass measurement of intact proteoforms	3	ppm		
PLATFORM-SPECIFIC: SINGLE-CELL PROTEOMICS	QuantQC metrics suite	Partially DDA	DIA	ID-based	ID-free	"Sample prep quality, droplet stability, digestion efficiency, S/N ratio"	3	dimensionless		
PLATFORM-SPECIFIC: SINGLE-CELL PROTEOMICS	Coverage filtering (?65% proteome coverage)	Partially DDA	DIA	ID-based	NOT ID-free	Excludes single-cell samples with insufficient protein detection	3	percent		
PLATFORM-SPECIFIC: SINGLE-CELL PROTEOMICS	Peptide protein agreement validation	Partially DDA	DIA	ID-based	NOT ID-free	Ensures consistency between peptide and protein-level quantification	3	percent		
PLATFORM-SPECIFIC: SINGLE-CELL PROTEOMICS	Detection rate thresholds (?80% per group)	Partially DDA	DIA	ID-based	NOT ID-free	Includes only proteins detected in majority of cells within group	3	percent		
PLATFORM-SPECIFIC: SINGLE-CELL PROTEOMICS	Droplet dispensing stability (nPOP)	Partially DDA	DIA	NOT ID_based	ID-free	Validates consistent droplet generation for multiplexed sample prep	3	dimensionless		
PLATFORM-SPECIFIC: SINGLE-CELL PROTEOMICS	Carrier proteome consistency	Partially DDA	DIA	ID-based	Partially ID-free	Monitors carrier channel signal for batch normalization	3	percent		
